venta_id,fecha,producto_id,cantidad,precio_unitario,cliente_id,sucursal_id,total
22,2023-01-01 00:21:00,410,7,253.63836327543416,36820,66,1775.4685429280391
117,2023-01-01 01:56:00,647,10,129.21016972264843,32452,44,1292.1016972264842
177,2023-01-01 02:56:00,941,2,206.30698089628945,17116,75,412.6139617925788
178,2023-01-01 02:57:00,534,9,485.01318104870506,45056,26,4365.118629438346
300,2023-01-01 04:59:00,534,15,445.7719729575253,14418,28,6686.579594362878
335,2023-01-01 05:34:00,41,19,320.7897837056686,25897,56,6095.005890407703
338,2023-01-01 05:37:00,430,11,20.575103953130576,15402,73,226.32614348443636
355,2023-01-01 05:54:00,568,15,304.0779577643744,39985,54,4561.169366465616
372,2023-01-01 06:11:00,48,19,275.93584057633814,4606,58,5242.7809709504245
412,2023-01-01 06:51:00,570,18,401.4230298843438,39104,94,7225.614537918189
454,2023-01-01 07:33:00,732,14,78.60804723323614,28261,20,1100.512661265306
473,2023-01-01 07:52:00,739,1,327.8664780120091,32056,85,327.8664780120091
514,2023-01-01 08:33:00,732,14,288.8393287852774,14758,53,4043.750602993884
528,2023-01-01 08:47:00,168,3,106.87661169358424,36391,9,320.62983508075274
545,2023-01-01 09:04:00,442,16,166.93704633887828,26908,85,2670.9927414220524
603,2023-01-01 10:02:00,135,11,351.6036966472395,3825,73,3867.640663119634
619,2023-01-01 10:18:00,647,11,302.9770645844102,15203,44,3332.747710428512
634,2023-01-01 10:33:00,410,12,441.7746270349491,39083,14,5301.295524419389
646,2023-01-01 10:45:00,693,6,342.800739592485,26532,76,2056.80443755491
672,2023-01-01 11:11:00,184,10,366.9636406213637,35391,92,3669.636406213637
697,2023-01-01 11:36:00,927,14,146.43623408699142,9761,67,2050.10727721788
725,2023-01-01 12:04:00,135,12,335.5817270297948,6779,14,4026.980724357538
737,2023-01-01 12:16:00,442,8,91.1363464921584,4817,26,729.0907719372672
766,2023-01-01 12:45:00,409,8,167.35936871749388,19804,40,1338.874949739951
838,2023-01-01 13:57:00,931,15,475.5257793571576,31176,96,7132.886690357364
883,2023-01-01 14:42:00,135,5,14.829335541705554,39667,57,74.14667770852776
887,2023-01-01 14:46:00,732,14,175.83646232657665,27776,63,2461.7104725720733
942,2023-01-01 15:41:00,123,2,476.6049087532927,44070,35,953.2098175065852
1000,2023-01-01 16:39:00,105,18,273.4961116501052,40155,44,4922.930009701894
1027,2023-01-01 17:06:00,941,3,203.93602392972025,26759,64,611.8080717891606
1092,2023-01-01 18:11:00,105,6,9.721011961126427,16726,40,58.32607176675856
