cliente_id,nombre,edad,genero,ubicacion
1,Cliente_1,54,Otro,Puebla
2,Cliente_2,46,M,Tijuana
3,Cliente_3,68,F,Monterrey
4,Cliente_4,21,M,CDMX
5,Cliente_5,54,Otro,CDMX
6,Cliente_6,25,Otro,Monterrey
7,Cliente_7,31,F,Guadalajara
8,Cliente_8,54,M,Guadalajara
9,Cliente_9,28,Otro,Guadalajara
10,Cliente_10,53,F,Tijuana
11,Cliente_11,21,F,Tijuana
12,Cliente_12,31,Otro,Puebla
13,Cliente_13,63,F,Puebla
14,Cliente_14,66,F,Puebla
15,Cliente_15,30,M,CDMX
17,Cliente_17,51,F,Puebla
18,Cliente_18,40,Otro,CDMX
19,Cliente_19,27,F,Monterrey
20,Cliente_20,30,Otro,CDMX
21,Cliente_21,42,Otro,Tijuana
24,Cliente_24,52,F,CDMX
25,Cliente_25,65,F,CDMX
26,Cliente_26,46,Otro,Puebla
27,Cliente_27,22,F,Puebla
28,Cliente_28,38,M,Tijuana
29,Cliente_29,58,Otro,Tijuana
30,Cliente_30,56,M,Guadalajara
31,Cliente_31,66,F,Tijuana
32,Cliente_32,63,F,Puebla
33,Cliente_33,36,M,Tijuana
34,Cliente_34,61,Otro,Tijuana
35,Cliente_35,24,Otro,Monterrey
36,Cliente_36,39,M,Guadalajara
37,Cliente_37,48,F,Tijuana
38,Cliente_38,28,F,Guadalajara
40,Cliente_40,29,M,Tijuana
41,Cliente_41,18,M,CDMX
42,Cliente_42,58,M,Puebla
43,Cliente_43,34,F,Monterrey
44,Cliente_44,57,F,CDMX
46,Cliente_46,68,M,Puebla
47,Cliente_47,59,F,Guadalajara
48,Cliente_48,55,F,CDMX
49,Cliente_49,39,M,Guadalajara
50,Cliente_50,59,Otro,CDMX
51,Cliente_51,41,M,Puebla
52,Cliente_52,54,M,Guadalajara
53,Cliente_53,52,Otro,Monterrey
54,Cliente_54,35,F,Tijuana
55,Cliente_55,55,F,Puebla
56,Cliente_56,32,Otro,CDMX
57,Cliente_57,25,M,Monterrey
58,Cliente_58,67,Otro,Puebla
59,Cliente_59,32,Otro,Tijuana
60,Cliente_60,45,F,Guadalajara
61,Cliente_61,65,F,Tijuana
62,Cliente_62,32,F,CDMX
63,Cliente_63,52,Otro,Monterrey
64,Cliente_64,68,F,Tijuana
65,Cliente_65,60,M,Guadalajara
66,Cliente_66,51,Otro,Tijuana
67,Cliente_67,41,F,Puebla
68,Cliente_68,25,Otro,Guadalajara
69,Cliente_69,53,Otro,Guadalajara
70,Cliente_70,18,F,Guadalajara
71,Cliente_71,55,Otro,Tijuana
72,Cliente_72,57,F,Puebla
73,Cliente_73,26,M,Monterrey
74,Cliente_74,62,F,CDMX
75,Cliente_75,52,M,Guadalajara
76,Cliente_76,68,M,Puebla
77,Cliente_77,56,M,Guadalajara
78,Cliente_78,27,Otro,CDMX
79,Cliente_79,66,F,Monterrey
80,Cliente_80,67,Otro,Monterrey
81,Cliente_81,69,Otro,Guadalajara
82,Cliente_82,26,M,CDMX
83,Cliente_83,32,Otro,Tijuana
84,Cliente_84,56,M,Monterrey
85,Cliente_85,42,F,Monterrey
86,Cliente_86,39,F,Guadalajara
87,Cliente_87,27,M,Tijuana
88,Cliente_88,68,M,Guadalajara
89,Cliente_89,57,Otro,Guadalajara
90,Cliente_90,63,F,CDMX
91,Cliente_91,56,M,Puebla
92,Cliente_92,60,F,Puebla
93,Cliente_93,66,M,Monterrey
94,Cliente_94,44,Otro,Puebla
95,Cliente_95,22,F,Tijuana
96,Cliente_96,66,F,Guadalajara
97,Cliente_97,33,M,Monterrey
98,Cliente_98,68,M,Guadalajara
99,Cliente_99,28,M,Puebla
100,Cliente_100,60,F,Guadalajara
101,Cliente_101,63,F,Monterrey
102,Cliente_102,38,M,Guadalajara
103,Cliente_103,65,F,CDMX
104,Cliente_104,45,F,CDMX
105,Cliente_105,48,Otro,Monterrey
106,Cliente_106,46,M,Puebla
107,Cliente_107,67,M,Monterrey
108,Cliente_108,63,F,Puebla
109,Cliente_109,47,Otro,Monterrey
110,Cliente_110,68,Otro,Guadalajara
111,Cliente_111,64,F,Monterrey
112,Cliente_112,46,F,Monterrey
113,Cliente_113,62,Otro,Guadalajara
114,Cliente_114,44,F,Puebla
115,Cliente_115,39,Otro,CDMX
116,Cliente_116,59,Otro,Puebla
117,Cliente_117,39,F,CDMX
118,Cliente_118,62,M,Tijuana
119,Cliente_119,25,F,Monterrey
120,Cliente_120,25,M,Guadalajara
121,Cliente_121,36,F,CDMX
122,Cliente_122,32,F,Puebla
123,Cliente_123,54,F,Guadalajara
124,Cliente_124,21,Otro,Monterrey
125,Cliente_125,45,F,CDMX
126,Cliente_126,56,M,Tijuana
127,Cliente_127,52,Otro,Monterrey
128,Cliente_128,55,Otro,Guadalajara
129,Cliente_129,30,F,Tijuana
130,Cliente_130,44,F,CDMX
131,Cliente_131,31,F,Monterrey
132,Cliente_132,57,Otro,Monterrey
133,Cliente_133,66,Otro,Puebla
134,Cliente_134,50,F,Monterrey
135,Cliente_135,32,F,Monterrey
136,Cliente_136,23,F,Puebla
137,Cliente_137,53,M,Puebla
138,Cliente_138,28,F,Monterrey
139,Cliente_139,20,F,Puebla
140,Cliente_140,47,Otro,Monterrey
141,Cliente_141,63,F,Puebla
142,Cliente_142,25,M,Puebla
143,Cliente_143,41,Otro,Puebla
144,Cliente_144,25,F,Monterrey
145,Cliente_145,31,Otro,Puebla
146,Cliente_146,68,M,Tijuana
147,Cliente_147,44,M,CDMX
148,Cliente_148,38,Otro,Guadalajara
149,Cliente_149,50,F,Tijuana
150,Cliente_150,27,Otro,Puebla
151,Cliente_151,33,F,Tijuana
152,Cliente_152,39,F,Tijuana
153,Cliente_153,49,Otro,Puebla
154,Cliente_154,24,M,Puebla
155,Cliente_155,50,M,Puebla
156,Cliente_156,23,M,Tijuana
157,Cliente_157,34,F,Monterrey
158,Cliente_158,69,Otro,Guadalajara
159,Cliente_159,55,F,Puebla
160,Cliente_160,59,Otro,CDMX
161,Cliente_161,43,M,CDMX
162,Cliente_162,36,Otro,Guadalajara
163,Cliente_163,27,F,Puebla
164,Cliente_164,64,M,Puebla
165,Cliente_165,18,F,Monterrey
166,Cliente_166,53,Otro,Monterrey
167,Cliente_167,66,M,Tijuana
168,Cliente_168,31,F,Monterrey
169,Cliente_169,56,Otro,Tijuana
170,Cliente_170,55,F,Monterrey
171,Cliente_171,33,Otro,Monterrey
172,Cliente_172,28,F,Puebla
173,Cliente_173,23,Otro,Puebla
174,Cliente_174,36,F,Tijuana
175,Cliente_175,31,M,CDMX
176,Cliente_176,32,Otro,Guadalajara
177,Cliente_177,56,Otro,Tijuana
178,Cliente_178,47,F,Guadalajara
179,Cliente_179,29,M,Guadalajara
180,Cliente_180,47,Otro,Tijuana
181,Cliente_181,40,Otro,Tijuana
182,Cliente_182,59,M,Monterrey
183,Cliente_183,23,F,Monterrey
184,Cliente_184,60,Otro,Tijuana
185,Cliente_185,27,Otro,Puebla
186,Cliente_186,31,Otro,Puebla
187,Cliente_187,59,F,Guadalajara
188,Cliente_188,52,M,Guadalajara
189,Cliente_189,25,Otro,Tijuana
190,Cliente_190,22,F,Monterrey
191,Cliente_191,50,Otro,Tijuana
192,Cliente_192,52,M,CDMX
193,Cliente_193,45,Otro,Puebla
194,Cliente_194,50,F,Tijuana
195,Cliente_195,21,M,Guadalajara
196,Cliente_196,22,F,CDMX
197,Cliente_197,40,M,Monterrey
198,Cliente_198,32,M,Puebla
199,Cliente_199,34,M,CDMX
200,Cliente_200,25,F,Puebla
201,Cliente_201,50,M,Puebla
202,Cliente_202,39,M,Tijuana
203,Cliente_203,31,F,Puebla
204,Cliente_204,29,F,Puebla
205,Cliente_205,36,F,CDMX
206,Cliente_206,53,F,Guadalajara
207,Cliente_207,24,M,Puebla
208,Cliente_208,34,M,Puebla
209,Cliente_209,25,M,Puebla
210,Cliente_210,20,M,CDMX
211,Cliente_211,27,M,Guadalajara
212,Cliente_212,35,M,Monterrey
213,Cliente_213,43,M,Guadalajara
214,Cliente_214,43,F,Guadalajara
215,Cliente_215,64,Otro,Monterrey
216,Cliente_216,50,Otro,CDMX
217,Cliente_217,22,F,Tijuana
218,Cliente_218,28,F,Monterrey
219,Cliente_219,64,Otro,Tijuana
220,Cliente_220,31,M,Monterrey
221,Cliente_221,64,Otro,Tijuana
222,Cliente_222,18,M,Tijuana
223,Cliente_223,42,Otro,Monterrey
224,Cliente_224,39,Otro,Tijuana
225,Cliente_225,68,M,Tijuana
226,Cliente_226,29,F,Monterrey
227,Cliente_227,37,F,Tijuana
228,Cliente_228,38,Otro,Monterrey
229,Cliente_229,69,F,Puebla
230,Cliente_230,36,Otro,Tijuana
231,Cliente_231,41,Otro,Tijuana
232,Cliente_232,55,Otro,Guadalajara
233,Cliente_233,46,F,CDMX
234,Cliente_234,26,Otro,Puebla
236,Cliente_236,53,M,Monterrey
237,Cliente_237,23,M,Tijuana
238,Cliente_238,63,Otro,Guadalajara
239,Cliente_239,19,Otro,Puebla
240,Cliente_240,20,M,Guadalajara
241,Cliente_241,42,Otro,Puebla
242,Cliente_242,55,Otro,Puebla
243,Cliente_243,46,M,CDMX
244,Cliente_244,31,F,Tijuana
245,Cliente_245,53,F,Tijuana
246,Cliente_246,59,F,Monterrey
247,Cliente_247,57,F,Guadalajara
248,Cliente_248,47,M,CDMX
249,Cliente_249,64,M,CDMX
250,Cliente_250,41,F,CDMX
