envio_id,venta_id,fecha_envio,proveedor_id,estado_envio
1,306210,2023-01-02 00:00:00,10,Retrasado
2,159044,2023-01-02 01:00:00,76,Entregado
3,230549,2023-01-02 02:00:00,137,En tránsito
4,133984,2023-01-02 03:00:00,164,Retrasado
5,262497,2023-01-02 04:00:00,51,Retrasado
6,484836,2023-01-02 05:00:00,193,En tránsito
7,312389,2023-01-02 06:00:00,136,Cancelado
8,66019,2023-01-02 07:00:00,83,Entregado
9,415928,2023-01-02 08:00:00,114,En tránsito
10,158297,2023-01-02 09:00:00,192,Entregado
11,239827,2023-01-02 10:00:00,28,Cancelado
12,182879,2023-01-02 11:00:00,93,Retrasado
14,97944,2023-01-02 13:00:00,30,Entregado
15,162476,2023-01-02 14:00:00,34,En tránsito
16,418024,2023-01-02 15:00:00,139,Entregado
17,28771,2023-01-02 16:00:00,192,Cancelado
18,277441,2023-01-02 17:00:00,86,Entregado
20,457230,2023-01-02 19:00:00,10,Entregado
21,36686,2023-01-02 20:00:00,44,En tránsito
22,438219,2023-01-02 21:00:00,45,En tránsito
23,241977,2023-01-02 22:00:00,141,Cancelado
24,54408,2023-01-02 23:00:00,183,Entregado
26,313668,2023-01-03 01:00:00,114,Entregado
27,42237,2023-01-03 02:00:00,17,En tránsito
29,343788,2023-01-03 04:00:00,51,Entregado
30,186839,2023-01-03 05:00:00,101,Entregado
31,354102,2023-01-03 06:00:00,183,Entregado
32,255457,2023-01-03 07:00:00,61,Cancelado
33,425353,2023-01-03 08:00:00,185,Cancelado
34,97570,2023-01-03 09:00:00,188,En tránsito
35,427880,2023-01-03 10:00:00,100,En tránsito
36,133675,2023-01-03 11:00:00,129,Cancelado
37,204902,2023-01-03 12:00:00,83,Cancelado
38,427976,2023-01-03 13:00:00,93,En tránsito
40,53299,2023-01-03 15:00:00,72,Entregado
42,493092,2023-01-03 17:00:00,137,Retrasado
43,498340,2023-01-03 18:00:00,56,Entregado
45,182124,2023-01-03 20:00:00,53,Cancelado
47,422312,2023-01-03 22:00:00,159,En tránsito
48,74024,2023-01-03 23:00:00,196,Entregado
49,390513,2023-01-04 00:00:00,162,En tránsito
50,153648,2023-01-04 01:00:00,68,Entregado
52,492454,2023-01-04 03:00:00,64,Retrasado
54,314717,2023-01-04 05:00:00,158,En tránsito
55,261344,2023-01-04 06:00:00,162,En tránsito
57,6885,2023-01-04 08:00:00,28,Cancelado
58,172691,2023-01-04 09:00:00,77,Entregado
59,132628,2023-01-04 10:00:00,88,Cancelado
60,225280,2023-01-04 11:00:00,95,Retrasado
61,216193,2023-01-04 12:00:00,46,Entregado
62,76307,2023-01-04 13:00:00,187,Retrasado
63,341360,2023-01-04 14:00:00,149,Cancelado
64,204405,2023-01-04 15:00:00,87,En tránsito
65,475391,2023-01-04 16:00:00,158,En tránsito
66,116288,2023-01-04 17:00:00,191,En tránsito
68,323521,2023-01-04 19:00:00,41,En tránsito
70,174446,2023-01-04 21:00:00,139,Cancelado
71,355210,2023-01-04 22:00:00,43,En tránsito
72,9693,2023-01-04 23:00:00,180,Retrasado
73,490607,2023-01-05 00:00:00,36,Retrasado
74,314486,2023-01-05 01:00:00,50,En tránsito
76,416765,2023-01-05 03:00:00,63,En tránsito
77,90523,2023-01-05 04:00:00,125,Entregado
78,485943,2023-01-05 05:00:00,116,Cancelado
79,145806,2023-01-05 06:00:00,56,Cancelado
80,155942,2023-01-05 07:00:00,61,En tránsito
