proveedor_id,nombre_proveedor,contacto,ubicacion
1,Proveedor_1,contacto1@empresa.com,Monterrey
2,Proveedor_2,contacto2@empresa.com,Tijuana
3,Proveedor_3,contacto3@empresa.com,Tijuana
4,Proveedor_4,contacto4@empresa.com,CDMX
5,Proveedor_5,contacto5@empresa.com,Monterrey
7,Proveedor_7,contacto7@empresa.com,Tijuana
8,Proveedor_8,contacto8@empresa.com,Monterrey
9,Proveedor_9,contacto9@empresa.com,Guadalajara
10,Proveedor_10,contacto10@empresa.com,Puebla
11,Proveedor_11,contacto11@empresa.com,Guadalajara
12,Proveedor_12,contacto12@empresa.com,Tijuana
13,Proveedor_13,contacto13@empresa.com,Monterrey
14,Proveedor_14,contacto14@empresa.com,Tijuana
15,Proveedor_15,contacto15@empresa.com,Monterrey
16,Proveedor_16,contacto16@empresa.com,Puebla
17,Proveedor_17,contacto17@empresa.com,Puebla
18,Proveedor_18,contacto18@empresa.com,Guadalajara
19,Proveedor_19,contacto19@empresa.com,Monterrey
20,Proveedor_20,contacto20@empresa.com,Puebla
21,Proveedor_21,contacto21@empresa.com,Tijuana
22,Proveedor_22,contacto22@empresa.com,Monterrey
23,Proveedor_23,contacto23@empresa.com,CDMX
24,Proveedor_24,contacto24@empresa.com,Tijuana
25,Proveedor_25,contacto25@empresa.com,Guadalajara
26,Proveedor_26,contacto26@empresa.com,Tijuana
27,Proveedor_27,contacto27@empresa.com,Tijuana
28,Proveedor_28,contacto28@empresa.com,Tijuana
29,Proveedor_29,contacto29@empresa.com,Monterrey
30,Proveedor_30,contacto30@empresa.com,Puebla
31,Proveedor_31,contacto31@empresa.com,CDMX
32,Proveedor_32,contacto32@empresa.com,Monterrey
33,Proveedor_33,contacto33@empresa.com,Tijuana
34,Proveedor_34,contacto34@empresa.com,Monterrey
35,Proveedor_35,contacto35@empresa.com,Puebla
36,Proveedor_36,contacto36@empresa.com,Tijuana
37,Proveedor_37,contacto37@empresa.com,Monterrey
38,Proveedor_38,contacto38@empresa.com,Tijuana
39,Proveedor_39,contacto39@empresa.com,Monterrey
40,Proveedor_40,contacto40@empresa.com,Tijuana
41,Proveedor_41,contacto41@empresa.com,CDMX
42,Proveedor_42,contacto42@empresa.com,Monterrey
43,Proveedor_43,contacto43@empresa.com,CDMX
44,Proveedor_44,contacto44@empresa.com,CDMX
45,Proveedor_45,contacto45@empresa.com,CDMX
46,Proveedor_46,contacto46@empresa.com,Guadalajara
47,Proveedor_47,contacto47@empresa.com,Guadalajara
48,Proveedor_48,contacto48@empresa.com,Guadalajara
49,Proveedor_49,contacto49@empresa.com,Monterrey
50,Proveedor_50,contacto50@empresa.com,Monterrey
51,Proveedor_51,contacto51@empresa.com,Monterrey
52,Proveedor_52,contacto52@empresa.com,Monterrey
53,Proveedor_53,contacto53@empresa.com,Puebla
54,Proveedor_54,contacto54@empresa.com,Tijuana
55,Proveedor_55,contacto55@empresa.com,Guadalajara
56,Proveedor_56,contacto56@empresa.com,Tijuana
57,Proveedor_57,contacto57@empresa.com,Monterrey
58,Proveedor_58,contacto58@empresa.com,Monterrey
59,Proveedor_59,contacto59@empresa.com,CDMX
60,Proveedor_60,contacto60@empresa.com,Puebla
61,Proveedor_61,contacto61@empresa.com,CDMX
62,Proveedor_62,contacto62@empresa.com,Guadalajara
63,Proveedor_63,contacto63@empresa.com,Puebla
64,Proveedor_64,contacto64@empresa.com,Tijuana
65,Proveedor_65,contacto65@empresa.com,Puebla
67,Proveedor_67,contacto67@empresa.com,Monterrey
68,Proveedor_68,contacto68@empresa.com,Guadalajara
69,Proveedor_69,contacto69@empresa.com,Monterrey
70,Proveedor_70,contacto70@empresa.com,Monterrey
71,Proveedor_71,contacto71@empresa.com,Guadalajara
72,Proveedor_72,contacto72@empresa.com,Tijuana
73,Proveedor_73,contacto73@empresa.com,Guadalajara
74,Proveedor_74,contacto74@empresa.com,Puebla
75,Proveedor_75,contacto75@empresa.com,Tijuana
76,Proveedor_76,contacto76@empresa.com,Guadalajara
77,Proveedor_77,contacto77@empresa.com,Puebla
78,Proveedor_78,contacto78@empresa.com,Tijuana
79,Proveedor_79,contacto79@empresa.com,Guadalajara
80,Proveedor_80,contacto80@empresa.com,CDMX
81,Proveedor_81,contacto81@empresa.com,Guadalajara
82,Proveedor_82,contacto82@empresa.com,Monterrey
83,Proveedor_83,contacto83@empresa.com,Guadalajara
84,Proveedor_84,contacto84@empresa.com,Guadalajara
85,Proveedor_85,contacto85@empresa.com,Monterrey
86,Proveedor_86,contacto86@empresa.com,Guadalajara
87,Proveedor_87,contacto87@empresa.com,Tijuana
88,Proveedor_88,contacto88@empresa.com,Tijuana
89,Proveedor_89,contacto89@empresa.com,Monterrey
90,Proveedor_90,contacto90@empresa.com,CDMX
91,Proveedor_91,contacto91@empresa.com,Monterrey
92,Proveedor_92,contacto92@empresa.com,CDMX
93,Proveedor_93,contacto93@empresa.com,Puebla
94,Proveedor_94,contacto94@empresa.com,Guadalajara
95,Proveedor_95,contacto95@empresa.com,Guadalajara
96,Proveedor_96,contacto96@empresa.com,Monterrey
97,Proveedor_97,contacto97@empresa.com,Guadalajara
98,Proveedor_98,contacto98@empresa.com,Puebla
99,Proveedor_99,contacto99@empresa.com,Puebla
100,Proveedor_100,contacto100@empresa.com,Monterrey
101,Proveedor_101,contacto101@empresa.com,Guadalajara
102,Proveedor_102,contacto102@empresa.com,Guadalajara
103,Proveedor_103,contacto103@empresa.com,Guadalajara
104,Proveedor_104,contacto104@empresa.com,Guadalajara
105,Proveedor_105,contacto105@empresa.com,Puebla
106,Proveedor_106,contacto106@empresa.com,Puebla
107,Proveedor_107,contacto107@empresa.com,Tijuana
109,Proveedor_109,contacto109@empresa.com,CDMX
110,Proveedor_110,contacto110@empresa.com,Puebla
111,Proveedor_111,contacto111@empresa.com,Tijuana
112,Proveedor_112,contacto112@empresa.com,Monterrey
113,Proveedor_113,contacto113@empresa.com,Guadalajara
114,Proveedor_114,contacto114@empresa.com,Guadalajara
115,Proveedor_115,contacto115@empresa.com,CDMX
116,Proveedor_116,contacto116@empresa.com,Monterrey
117,Proveedor_117,contacto117@empresa.com,Puebla
118,Proveedor_118,contacto118@empresa.com,Guadalajara
